"","Indice","YearFixed","MonthFixed","SpeciesFixed","DateFormated","WeekDayNumber","HemisphereFixed","AgeFixed","Sex","ActivityFixed","CountryFixed","ContinentFixed","Area","LargoMetrosFixed","LargoEstandarizado","FatalFixed"
"688",720,"2012","12","SEVENHILL_SHARK","",99,"South",25,"F","DIVING","NEW_ZEALAND","OCEANIA","South Island",NA,"N/A",0
"689",721,"2012","11","TIGER_SHARK","2012/11/30",6,"North",61,"M","SNORKELING","USA","NORTH_AMERICA","Hawaii",3.048,"LARGO_3_4",0
"690",723,"2012","11","SPECIE_UNKNOWN","2012/11/22",5,"North",32,"M","SWIMMING","MEXICO","NORTH_AMERICA","Sinaloa",2.5,"LARGO_2_3",1
"691",724,"2012","11","SPECIE_UNKNOWN","2012/11/19",2,"North",14,"M","SURFING","USA","NORTH_AMERICA","Florida",0.6096,"LARGO_0_1",0
"692",725,"2012","11","TIGER_SHARK","2012/11/04",1,"North",30,"M","DIVING","USA","NORTH_AMERICA","Hawaii",4.572,"LARGO_4_5",0
"693",726,"2012","11","TIGER_SHARK","2012/11/04",1,"North",43,"M","SURFING","USA","NORTH_AMERICA","Hawaii",2.4384,"LARGO_2_3",0
"694",727,"2012","10","WHITE_SHARK","2012/10/30",3,"North",25,"M","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"695",728,"2012","10","TIGER_SHARK","2012/10/27",7,"North",51,"F","SWIMMING","USA","NORTH_AMERICA","Hawaii",3.048,"LARGO_3_4",0
"696",729,"2012","10","WHITE_SHARK","2012/10/23",3,"North",39,"M","SURFING","USA","NORTH_AMERICA","California",4.572,"LARGO_4_5",1
"697",730,"2012","10","SPECIE_UNKNOWN","2012/10/19",6,"North",35,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"698",731,"2012","10","SPECIE_UNKNOWN","2012/10/18",5,"North",24,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"699",732,"2012","10","SPECIE_UNKNOWN","2012/10/18",5,"North",55,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",1.8288,"LARGO_1_2",0
