"","Indice","YearFixed","MonthFixed","SpeciesFixed","DateFormated","WeekDayNumber","HemisphereFixed","AgeFixed","Sex","ActivityFixed","CountryFixed","ContinentFixed","Area","LargoMetrosFixed","LargoEstandarizado","FatalFixed"
"1",1,"2018","06","WHITE_SHARK","2018/06/25",2,"North",57,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","California",NA,"N/A",0
"2",2,"2018","06","SPECIE_UNKNOWN","2018/06/18",2,"North",11,"F","STANDING","USA","NORTH_AMERICA","Georgia",NA,"N/A",0
"3",3,"2018","06","SPECIE_UNKNOWN","2018/06/09",7,"North",48,"M","SURFING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"4",4,"2018","06","SPECIE_UNKNOWN","2018/06/08",6,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",2,"LARGO_1_2",0
"5",5,"2018","06","TIGER_SHARK","2018/06/04",2,"North",-1,"M","DIVING","MEXICO","NORTH_AMERICA","Colima",3,"LARGO_2_3",0
"6",6,"2018","06","SPECIE_UNKNOWN","2018/06/03",1,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"7",7,"2018","06","TIGER_SHARK","2018/06/03",1,"South",18,"M","SWIMMING","BRAZIL","SOUTH_AMERICA","Pernambuco",NA,"N/A",1
"8",8,"2018","05","LEMON_SHARK","2018/05/27",1,"North",52,"M","FISHING","USA","NORTH_AMERICA","Florida",0.9144,"LARGO_0_1",0
"9",9,"2018","05","BULL_SHARK","2018/05/26",7,"North",15,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",1.8288,"LARGO_1_2",0
"10",10,"2018","05","SPECIE_UNKNOWN","2018/05/26",7,"North",12,"M","STANDING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"11",11,"2018","05","GREY_SHARK","2018/05/24",5,"South",32,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"12",12,"2018","05","SPECIE_UNKNOWN","2018/05/21",2,"North",10,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"13",13,"2018","05","SPECIE_UNKNOWN","2018/05/13",1,"North",10,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"14",14,"2018","05","SPECIE_UNKNOWN","2018/05/13",1,"North",21,"M","FISHING","ENGLAND","EUROPE","Cornwall",NA,"N/A",0
"15",15,"2018","05","NURSE_SHARK","",99,"South",34,"F","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Westerm Australia",2,"LARGO_1_2",0
"16",16,"2018","05","SPECIE_UNKNOWN","2018/05/12",7,"South",-1,"M","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",0
"17",17,"2018","05","SPECIE_UNKNOWN","2018/05/09",4,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"18",18,"2018","04","SPECIE_UNKNOWN","2018/04/30",2,"North",-1,"M","SWIMMING","THAILAND","ASIA","Hua Hin",NA,"N/A",0
"19",19,"2018","04","TIGER_SHARK","2018/04/28",7,"North",30,"M","DIVING","COSTA_RICA","NORTH_AMERICA","Cocos Island",NA,"N/A",0
"20",20,"2018","04","SPECIE_UNKNOWN","2018/04/28",7,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"21",21,"2018","04","SPECIE_UNKNOWN","2018/04/25",4,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"22",22,"2018","04","SPECIE_UNKNOWN","2018/04/25",4,"South",60,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",3,"LARGO_2_3",0
"23",23,"2018","04","WHITE_SHARK","2018/04/24",3,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",3.5,"LARGO_3_4",0
"24",24,"2018","04","TIGER_SHARK","2018/04/23",2,"North",32,"M","FISHING","MALDIVES","ASIA","Alifu Alifu Atoll",NA,"N/A",0
"25",25,"2018","04","WHITE_SHARK","2018/04/22",1,"South",33,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","Western Cape Province",2.5,"LARGO_2_3",0
"26",26,"2018","04","SPECIE_UNKNOWN","2018/04/19",5,"North",29,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",1.8288,"LARGO_1_2",0
"27",27,"2018","04","BULL_SHARK","2018/04/15",1,"North",54,"M","SWIMMING","THAILAND","ASIA","Hua Hin",NA,"N/A",0
"28",28,"2018","04","SPECIE_UNKNOWN","2018/04/15",1,"South",34,"M","SWIMMING","BRAZIL","SOUTH_AMERICA","Pernambuco",NA,"N/A",0
"29",29,"2018","04","SPECIE_UNKNOWN","2018/04/15",1,"South",41,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"30",30,"2018","04","SPECIE_UNKNOWN","2018/04/15",1,"South",37,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"31",31,"2018","04","TIGER_SHARK","2018/04/14",7,"North",-1,"M","SURFING","BAHAMAS","NORTH_AMERICA","New Providence",NA,"N/A",0
"32",32,"2018","04","SPECIE_UNKNOWN","2018/04/10",3,"South",56,"M","FISHING","BRAZIL","SOUTH_AMERICA","Alagoas",NA,"N/A",0
"33",33,"2018","04","SPECIE_UNKNOWN","2018/04/09",2,"South",-1,"","SURFING","NEW_CALEDONIA","OCEANIA","",2,"LARGO_1_2",0
"34",34,"2018","04","BULL_SHARK","2018/04/05",5,"North",12,"M","SWIMMING","BAHAMAS","NORTH_AMERICA","",NA,"N/A",0
"35",35,"2018","04","WHITE_SHARK","2018/04/03",3,"South",19,"M","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",0
"36",36,"2018","03","TIGER_SHARK","2018/03/31",7,"North",25,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",3.6576,"LARGO_3_4",0
"37",37,"2018","03","WOBBEGONG_SHARK","2018/03/14",4,"South",10,"M","WADING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"38",38,"2018","03","SPECIE_UNKNOWN","2018/03/9",6,"South",69,"M","SWIMMING","AUSTRALIA","OCEANIA","Victoria",3.5,"LARGO_3_4",0
"39",39,"2018","03","SPECIE_UNKNOWN","2018/03/9",6,"South",18,"M","SURFING","AUSTRALIA","OCEANIA","Victoria",1.8,"LARGO_1_2",0
"40",40,"2018","02","BLACKTIP_SHARK","2018/02/24",7,"South",38,"M","DIVING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"41",41,"2018","02","WHITE_SHARK","2018/02/23",6,"South",55,"F","SWIMMING","AUSTRALIA","OCEANIA","New South Wales",3.2,"LARGO_3_4",0
"42",42,"2018","02","SPECIE_UNKNOWN","2018/02/18",1,"South",34,"M","FISHING","AUSTRALIA","OCEANIA","Victoria",NA,"N/A",0
"43",43,"2018","02","BULL_SHARK","2018/02/15",5,"South",35,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","New South Wales",2,"LARGO_1_2",0
"44",44,"2018","02","WOBBEGONG_SHARK","2018/02/14",4,"South",-1,"F","SWIMMING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"45",45,"2018","02","SPECIE_UNKNOWN","2018/02/11",1,"South",46,"F","ACTIVITY_UNKNOWN","BRAZIL","SOUTH_AMERICA","Boi Island, Victoria",NA,"N/A",0
"46",46,"2018","02","GALAPAGOS_SHARK","2018/02/03",7,"South",45,"M","SNORKELING","ECUADOR","SOUTH_AMERICA","Galapagos Islands",NA,"N/A",0
"47",47,"2018","02","SPECIE_UNKNOWN","2018/02/01",5,"South",14,"M","FISHING","AUSTRALIA","OCEANIA","Western Australia",2,"LARGO_1_2",0
"48",48,"2018","01","BULL_SHARK","2018/01/28",1,"South",18,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"49",49,"2018","01","BULL_SHARK","2018/01/21",1,"South",40,"M","FISHING","NEW_CALEDONIA","OCEANIA","",3,"LARGO_2_3",0
"50",50,"2018","01","GREY_SHARK","2018/01/14",1,"South",-1,"M","DIVING","AUSTRALIA","OCEANIA","Queensland",2,"LARGO_1_2",0
"51",51,"2018","01","WHITE_SHARK","2018/01/13",7,"South",28,"M","DIVING","AUSTRALIA","OCEANIA","New South Wales",3.5,"LARGO_3_4",0
"52",52,"2018","01","SPECIE_UNKNOWN","2018/01/12",6,"South",20,"M","SURFING","BRAZIL","SOUTH_AMERICA","Fernando de Noronha",NA,"N/A",0
"53",53,"2018","01","WOBBEGONG_SHARK","2018/01/05",6,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"54",54,"2017","12","TIGER_SHARK","2017/12/31",1,"North",54,"F","SURFING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"55",55,"2017","12","SPECIE_UNKNOWN","2017/12/30",7,"North",35,"F","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"56",56,"2017","12","NURSE_SHARK","2017/12/21",5,"North",24,"M","FISHING","MALAYSIA","ASIA","Sepang",NA,"N/A",0
"57",57,"2017","12","NURSE_SHARK","2017/12/09",7,"North",25,"F","SNORKELING","BAHAMAS","NORTH_AMERICA","",1.524,"LARGO_1_2",0
"58",58,"2017","11","TIGER_SHARK","2017/11/30",5,"North",26,"M","DIVING","COSTA_RICA","NORTH_AMERICA","Cocos Island",NA,"N/A",0
"59",59,"2017","11","TIGER_SHARK","2017/11/30",5,"North",49,"F","DIVING","COSTA_RICA","NORTH_AMERICA","Cocos Island",NA,"N/A",1
"60",60,"2017","11","BLUE_SHARK","2017/11/25",7,"North",-1,"","BOATING","LIBYA","AFRICA","",NA,"N/A",1
"61",61,"2017","11","WHITE_SHARK","2017/11/24",6,"North",25,"M","FISHING","USA","NORTH_AMERICA","California",4.6,"LARGO_4_5",0
"62",62,"2017","11","SPECIE_UNKNOWN","2017/11/18",7,"North",14,"F","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"63",64,"2017","11","SPECIE_UNKNOWN","2017/11/13",2,"South",25,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",2,"LARGO_1_2",0
"64",65,"2017","11","TIGER_SHARK","2017/11/04",7,"North",22,"M","BATHING","CUBA","NORTH_AMERICA","Holquin Province",NA,"N/A",1
"65",66,"2017","10","COOKIECUTTER_SHARK","2017/10/31",3,"South",7,"M","SNORKELING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"66",67,"2017","10","WOBBEGONG_SHARK","2017/10/28",7,"South",31,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",1,"LARGO_0_1",0
"67",68,"2017","10","SPECIE_UNKNOWN","2017/10/26",5,"North",-1,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"68",69,"2017","10","SPECIE_UNKNOWN","2017/10/23",2,"South",-1,"M","SWIMMING","MAURITIUS","AFRICA","Pamplemousses ",NA,"N/A",0
"69",70,"2017","10","SPECIE_UNKNOWN","2017/10/23",2,"North",17,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"70",71,"2017","10","SPECIE_UNKNOWN","2017/10/23",2,"North",60,"F","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"71",72,"2017","10","WHITE_SHARK","2017/10/22",1,"South",15,"F","FISHING","AUSTRALIA","OCEANIA","South Australia",4.5,"LARGO_4_5",0
"72",73,"2017","10","SPECIE_UNKNOWN","2017/10/21",7,"South",-1,"M","KAYAKING","NEW_ZEALAND","OCEANIA","North Island",2,"LARGO_1_2",0
"73",74,"2017","10","SPINNER_SHARK","2017/10/18",4,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"74",75,"2017","10","TIGER_SHARK","2017/10/09",2,"North",54,"M","SURFING","USA","NORTH_AMERICA","Hawaii",NA,"N/A",0
"75",76,"2017","10","SPECIE_UNKNOWN","2017/10/05",5,"North",40,"F","SNORKELING","USA","NORTH_AMERICA","Hawaii",2.4384,"LARGO_2_3",0
"76",77,"2017","10","SPECIE_UNKNOWN","2017/10/01",1,"South",31,"M","DIVING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",1
"77",78,"2017","09","SPECIE_UNKNOWN","2017/09/25",2,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"78",79,"2017","09","WHITE_SHARK","2017/09/25",2,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",3.5,"LARGO_3_4",0
"79",81,"2017","09","SPECIE_UNKNOWN","2017/09/24",1,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"80",82,"2017","09","SPECIE_UNKNOWN","2017/09/20",4,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"81",83,"2017","09","PORBEAGLE_SHARK","2017/09/16",7,"North",13,"M","SURFING","SPAIN","EUROPE","Canary Islands",1.5,"LARGO_1_2",0
"82",84,"2017","09","SPECIE_UNKNOWN","2017/09/16",7,"North",28,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"83",85,"2017","09","SPECIE_UNKNOWN","2017/09/15",6,"South",25,"M","DIVING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",1
"84",86,"2017","09","SPECIE_UNKNOWN","2017/09/15",6,"South",-1,"M","FISHING","SAMOA","OCEANIA"," Upolu Island",NA,"N/A",0
"85",87,"2017","09","WHITE_SHARK","",99,"South",-1,"","FISHING","AUSTRALIA","OCEANIA","Westerm Australia",3.5,"LARGO_3_4",0
"86",88,"2017","09","SPECIE_UNKNOWN","2017/09/13",4,"North",18,"M","SURFING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"87",89,"2017","09","SPECIE_UNKNOWN","2017/09/10",1,"South",-1,"M","SWIMMING","AUSTRALIA","OCEANIA","Westerm Australia",NA,"N/A",0
"88",90,"2017","09","WHITE_SHARK","2017/09/10",1,"South",35,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",3.5,"LARGO_3_4",0
"89",91,"2017","09","SPECIE_UNKNOWN","2017/09/06",4,"South",-1,"M","FISHING","SOLOMON_ISLANDS","OCEANIA","",NA,"N/A",0
"90",92,"2017","09","SPECIE_UNKNOWN","2017/09/03",1,"South",-1,"M","SWIMMING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",1
"91",93,"2017","09","SPECIE_UNKNOWN","2017/09/03",1,"North",42,"M","SURFING","JAPAN","ASIA","Shizuoka Prefecture",NA,"N/A",0
"92",94,"2017","09","NURSE_SHARK","2017/09/02",7,"North",-1,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"93",95,"2017","09","SPECIE_UNKNOWN","2017/09/02",7,"North",-1,"F","SWIMMING","USA","NORTH_AMERICA","Texas",NA,"N/A",0
"94",96,"2017","09","SPECIE_UNKNOWN","2017/09/02",7,"North",17,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"95",97,"2017","08","WHITE_SHARK","2017/08/29",3,"South",37,"M","SURFING","AUSTRALIA","OCEANIA","Victoria",3,"LARGO_2_3",0
"96",98,"2017","08","SPECIE_UNKNOWN","2017/08/27",1,"North",3,"F","WADING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"97",100,"2017","08","SPECIE_UNKNOWN","2017/08/26",7,"South",-1,"M","CANOEING","NEW_ZEALAND","OCEANIA","North Island",NA,"N/A",0
"98",101,"2017","08","WHITE_SHARK","2017/08/23",4,"North",69,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Massachusetts",1.524,"LARGO_1_2",0
"99",102,"2017","08","SPECIE_UNKNOWN","2017/08/18",6,"North",-1,"M","FISHING","BAHAMAS","NORTH_AMERICA","",1.524,"LARGO_1_2",0
"100",103,"2017","08","BLACKTIP_SHARK","2017/08/10",5,"North",13,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"101",104,"2017","08","WHITE_SHARK","2017/08/05",7,"North",20,"F","SNORKELING","EGYPT","AFRICA","Red Sea Protectorate",2,"LARGO_1_2",0
"102",105,"2017","08","SPECIE_UNKNOWN","2017/08/03",5,"North",34,"M","FISHING","USA","NORTH_AMERICA","Massachusetts",1.2192,"LARGO_1_2",0
"103",106,"2017","08","WHITE_SHARK","2017/08/01",3,"North",-1,"M","FISHING","USA","NORTH_AMERICA","California",3.048,"LARGO_3_4",0
"104",107,"2017","07","SPECIE_UNKNOWN","2017/07/31",2,"North",15,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"105",108,"2017","07","SPECIE_UNKNOWN","2017/07/29",7,"North",10,"M","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"106",109,"2017","07","SPECIE_UNKNOWN","2017/07/29",7,"North",12,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"107",110,"2017","07","SPECIE_UNKNOWN","2017/07/27",5,"North",-1,"F","SNORKELING","BAHAMAS","NORTH_AMERICA","New Providence District",NA,"N/A",0
"108",111,"2017","07","SPECIE_UNKNOWN","2017/07/26",4,"North",-1,"M","FISHING","BAHAMAS","NORTH_AMERICA","40 miles off Grand Bahama Island",NA,"N/A",0
"109",112,"2017","07","SPECIE_UNKNOWN","2017/07/24",2,"North",37,"M","SURFING","ST_HELENA","AFRICA","Ascension Island",NA,"N/A",0
"110",113,"2017","07","TIGER_SHARK","2017/07/23",1,"North",-1,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","New Jersey",0.6096,"LARGO_0_1",0
"111",114,"2017","07","BLUE_SHARK","2017/07/23",1,"North",-1,"F","SWIMMING","SPAIN","EUROPE","Majorca",1.8288,"LARGO_1_2",0
"112",115,"2017","07","SPECIE_UNKNOWN","2017/07/22",7,"North",40,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"113",116,"2017","07","SPECIE_UNKNOWN","2017/07/20",5,"North",8,"F","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"114",117,"2017","07","WHITE_SHARK","2017/07/20",5,"North",40,"M","KAYAKING","USA","NORTH_AMERICA","California",3.3528,"LARGO_3_4",0
"115",118,"2017","07","WHITE_SHARK","2017/07/20",5,"North",50,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","California",2.4384,"LARGO_2_3",0
"116",119,"2017","07","WHITE_SHARK","2017/07/14",6,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Washington",2.7432,"LARGO_2_3",0
"117",120,"2017","07","SPECIE_UNKNOWN","2017/07/14",6,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"118",121,"2017","07","WHITE_SHARK","2017/07/11",3,"North",-1,"M","KAYAKING","USA","NORTH_AMERICA","California",NA,"N/A",0
"119",122,"2017","07","BULL_SHARK","2017/07/09",1,"North",46,"M","SWIMMING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"120",123,"2017","07","TIGER_SHARK","2017/07/07",6,"North",32,"M","FISHING","MEXICO","NORTH_AMERICA","Tabasco",NA,"N/A",0
"121",124,"2017","07","WHITE_SHARK","2017/07/07",6,"South",13,"F","SURFING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",2.5,"LARGO_2_3",0
"122",127,"2017","06","SPECIE_UNKNOWN","2017/06/21",4,"North",16,"F","SWIMMING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"123",128,"2017","06","SPECIE_UNKNOWN","2017/06/19",2,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"124",129,"2017","06","BULL_SHARK","2017/06/18",1,"North",14,"F","SWIMMING","USA","NORTH_AMERICA","South Carolina",1.2192,"LARGO_1_2",0
"125",130,"2017","06","BULL_SHARK","2017/06/18",1,"South",34,"M","ACTIVITY_UNKNOWN","REUNION_ISLAND","AFRICA","",2,"LARGO_1_2",0
"126",131,"2017","06","SPECIE_UNKNOWN","2017/06/17",7,"North",82,"M","SWIMMING","SPAIN","EUROPE","Ibiza Island",NA,"N/A",0
"127",132,"2017","00","SPECIE_UNKNOWN","",99,"South",-1,"M","SURFING","FRENCH_POLYNESIA","OCEANIA","Marquesas",NA,"N/A",0
"128",133,"2017","06","SPECIE_UNKNOWN","2017/06/14",4,"North",-1,"F","ACTIVITY_UNKNOWN","BAHAMAS","NORTH_AMERICA","",NA,"N/A",0
"129",134,"2017","06","WHITE_SHARK","2017/06/11",1,"South",48,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Western Australia",4,"LARGO_3_4",0
"130",135,"2017","06","SEVENHILL_SHARK","2017/06/10",7,"South",-1,"F","SURFING","AUSTRALIA","OCEANIA","Victoria",NA,"N/A",0
"131",136,"2017","06","SPECIE_UNKNOWN","2017/06/10",7,"North",19,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"132",137,"2017","06","SPECIE_UNKNOWN","2017/06/07",4,"North",30,"M","SURFING","UNITED_KINGDOM","EUROPE","South Devon",3,"LARGO_2_3",0
"133",138,"2017","06","SPECIE_UNKNOWN","2017/06/04",1,"North",-1,"M","FISHING","USA","NORTH_AMERICA","Florida",2.4384,"LARGO_2_3",0
"134",139,"2017","06","TIGER_SHARK","2017/06/02",6,"North",32,"F","SNORKELING","BAHAMAS","NORTH_AMERICA","New Providence ",NA,"N/A",0
"135",140,"2017","05","SPECIE_UNKNOWN","2017/05/30",3,"North",20,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","South Carolina",0.9144,"LARGO_0_1",0
"136",141,"2017","05","TIGER_SHARK","2017/05/28",1,"North",-1,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"137",142,"2017","05","SPECIE_UNKNOWN","2017/05/27",7,"South",73,"M","FISHING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"138",143,"2017","05","SPECIE_UNKNOWN","2017/05/12",6,"North",41,"M","FISHING","UNITED_ARAB_EMIRATES","ASIA","Sharjah, ",NA,"N/A",0
"139",144,"2017","05","SPECIE_UNKNOWN","2017/05/06",7,"South",29,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Queensland",2.7432,"LARGO_2_3",0
"140",145,"2017","05","SPECIE_UNKNOWN","2017/05/05",6,"North",33,"M","SNORKELING","MEXICO","NORTH_AMERICA","Baja California Sur",NA,"N/A",1
"141",147,"2017","04","SPECIE_UNKNOWN","2017/04/29",7,"North",-1,"F","SWIMMING","USA","NORTH_AMERICA","California",NA,"N/A",0
"142",148,"2017","04","SPECIE_UNKNOWN","2017/04/29",7,"South",14,"M","SURFING","SOUTH_AFRICA","AFRICA","Western Cape Province",NA,"N/A",0
"143",149,"2017","04","SPECIE_UNKNOWN","2017/04/29",7,"North",33,"F","SURFING","USA","NORTH_AMERICA","South Carolina",NA,"N/A",0
"144",150,"2017","04","SPECIE_UNKNOWN","2017/04/29",7,"South",28,"M","ACTIVITY_UNKNOWN","REUNION_ISLAND","AFRICA","Saint-Leu",NA,"N/A",1
"145",151,"2017","04","SPECIE_UNKNOWN","2017/04/27",5,"South",20,"F","ACTIVITY_UNKNOWN","NEW_ZEALAND","OCEANIA","South Island",NA,"N/A",0
"146",153,"2017","04","SPECIE_UNKNOWN","2017/04/22",7,"North",40,"F","SNORKELING","ST_HELENA","AFRICA","Ascension Island",NA,"N/A",0
"147",155,"2017","04","SPECIE_UNKNOWN","2017/04/17",2,"North",-1,"","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"148",156,"2017","04","WHITE_SHARK","2017/04/17",2,"South",17,"F","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",1
"149",157,"2017","04","TIGER_SHARK","2017/04/14",6,"North",28,"M","SURFING","USA","NORTH_AMERICA","Hawaii",3.6576,"LARGO_3_4",0
"150",158,"2017","04","SPECIE_UNKNOWN","2017/04/13",5,"North",17,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"151",159,"2017","04","SPECIE_UNKNOWN","2017/04/12",4,"North",-1,"F","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"152",160,"2017","04","SPECIE_UNKNOWN","2017/04/12",4,"South",68,"M","DIVING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",1
"153",161,"2017","04","SPECIE_UNKNOWN","2017/04/11",3,"North",35,"F","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"154",162,"2017","04","SPECIE_UNKNOWN","2017/04/10",2,"North",10,"F","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"155",163,"2017","04","SPECIE_UNKNOWN","2017/04/10",2,"North",21,"F","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"156",164,"2017","04","SPECIE_UNKNOWN","2017/04/06",5,"North",16,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"157",165,"2017","04","SPECIE_UNKNOWN","2017/04/05",4,"North",51,"F","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"158",166,"2017","04","SPECIE_UNKNOWN","2017/04/02",1,"South",39,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"159",167,"2017","04","BULL_SHARK","2017/04/02",1,"North",17,"F","SWIMMING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"160",168,"2017","03","SPECIE_UNKNOWN","2017/03/27",2,"North",58,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"161",169,"2017","03","SPECIE_UNKNOWN","2017/03/19",1,"South",30,"M","ACTIVITY_UNKNOWN","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"162",170,"2017","03","WHITE_SHARK","2017/03/18",7,"North",-1,"M","KAYAKING","USA","NORTH_AMERICA","California",NA,"N/A",0
"163",171,"2017","03","SPECIE_UNKNOWN","2017/03/11",7,"North",25,"M","FISHING","PHILIPPINES","ASIA","Luzon Island",3.048,"LARGO_3_4",0
"164",172,"2017","03","LEMON_SHARK","2017/03/09",5,"North",58,"M","WASHING","BAHAMAS","NORTH_AMERICA","Great Exuma",NA,"N/A",0
"165",173,"2017","02","BULL_SHARK","2017/02/25",7,"South",-1,"F","SNORKELING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"166",174,"2017","02","SPECIE_UNKNOWN","2017/02/24",6,"South",-1,"M","SURFING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"167",175,"2017","02","SPECIE_UNKNOWN","2017/02/21",3,"South",26,"M","ACTIVITY_UNKNOWN","REUNION_ISLAND","AFRICA","Saint-Andre",NA,"N/A",1
"168",176,"2017","02","SPECIE_UNKNOWN","2017/02/17",6,"South",26,"M","FISHING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"169",177,"2017","02","SPECIE_UNKNOWN","2017/02/11",7,"North",22,"M","SWIMMING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"170",178,"2017","02","LEMON_SHARK","2017/02/06",2,"South",-1,"F","ACTIVITY_UNKNOWN","BRAZIL","SOUTH_AMERICA","Pernambuco",NA,"N/A",0
